Timestamp,Open,High,Low,Close,Volume,OI
1674032400,81.77,81.77,81.77,81.77,75,3175358,
1674032401,81.7675,81.7825,81.7675,81.7825,268,3175358,
1674032402,81.785,81.785,81.785,81.785,323,3175358,
1674032403,81.78,81.7875,81.78,81.7875,554,3175358,
1674032404,81.7825,81.785,81.7825,81.785,323,3175358,
1674032406,81.78,81.7925,81.78,81.7925,403,3175358,
1674032407,81.7925,81.7975,81.7925,81.7975,1016,3175358,
1674032408,81.7975,81.7975,81.7975,81.7975,351,3175358,
1674032409,81.8,81.805,81.8,81.805,1478,3175358,
1674032410,81.8125,81.8125,81.81,81.81,1571,3175358,
1674032411,81.8025,81.81,81.8025,81.81,580,3175358,
1674032412,81.8025,81.8025,81.8025,81.8025,109,3175358,
1674032413,81.8025,81.805,81.8025,81.805,161,3175358,
1674032414,81.8,81.8,81.7975,81.7975,1415,3175358,
1674032416,81.8,81.8025,81.8,81.8025,673,3175358,
1674032417,81.805,81.805,81.795,81.795,159,3175358,
1674032418,81.805,81.805,81.805,81.805,1263,3175358,
1674032419,81.805,81.805,81.805,81.805,384,3175358,
1674032420,81.805,81.805,81.805,81.805,14,3175358,
1674032421,81.805,81.805,81.805,81.805,164,3175358,
1674032423,81.8,81.805,81.8,81.805,1079,3175358,
1674032424,81.805,81.805,81.805,81.805,67,3175358,
1674032426,81.8,81.8,81.8,81.8,115,3175358,
1674032427,81.8025,81.8025,81.8,81.8,118,3175358,
1674032429,81.8025,81.8025,81.8025,81.8025,465,3175358,
1674032430,81.8025,81.8025,81.8,81.8,56,3175358,
1674032431,81.8025,81.8025,81.8025,81.8025,339,3175358,
1674032432,81.8025,81.8025,81.8025,81.8025,314,3175358,
1674032433,81.8025,81.805,81.8025,81.805,741,3175358,
1674032435,81.805,81.805,81.805,81.805,202,3175358,
1674032436,81.805,81.805,81.805,81.805,258,3175358,
1674032437,81.805,81.805,81.805,81.805,379,3175358,
1674032438,81.805,81.805,81.805,81.805,749,3175358,
1674032440,81.805,81.805,81.8025,81.8025,924,3175358,
1674032442,81.8025,81.8025,81.8025,81.8025,888,3175358,
1674032443,81.8025,81.8025,81.8025,81.8025,53,3175358,
1674032444,81.805,81.8075,81.805,81.8075,360,3175358,
1674032445,81.8075,81.8075,81.8075,81.8075,16,3175358,
1674032447,81.805,81.805,81.805,81.805,231,3175358,
1674032448,81.8075,81.8075,81.8075,81.8075,294,3175358,
1674032449,81.8075,81.8075,81.8075,81.8075,132,3175358,
1674032450,81.8075,81.8075,81.8075,81.8075,282,3175358,
1674032451,81.8075,81.8075,81.805,81.805,315,3175358,
1674032452,81.8075,81.8075,81.8075,81.8075,9,3175358,
1674032453,81.8075,81.8075,81.8075,81.8075,1858,3175358,
1674032454,81.8075,81.8075,81.8075,81.8075,95,3175358,
1674032455,81.81,81.81,81.81,81.81,255,3175358,
1674032456,81.8125,81.8125,81.8125,81.8125,261,3175358,
1674032457,81.81,81.81,81.81,81.81,113,3175358,
